household_id,household_name,family_size,adults_count,children_count,elderly_count,activity_profile,dietary_preference
461,Household_0461,2,1,0,1,MODERATE,VEGETARIAN
462,Household_0462,2,2,0,0,MODERATE,BALANCED
463,Household_0463,4,3,0,1,SEDENTARY,VEGETARIAN
464,Household_0464,3,3,0,0,SEDENTARY,BALANCED
465,Household_0465,2,2,0,0,MODERATE,BALANCED
466,Household_0466,5,3,2,0,MODERATE,BALANCED
467,Household_0467,4,2,2,0,MODERATE,BALANCED
468,Household_0468,2,2,0,0,SEDENTARY,LOW_SUGAR
469,Household_0469,4,2,2,0,MODERATE,LOW_SODIUM
470,Household_0470,5,3,2,0,MODERATE,VEGETARIAN
471,Household_0471,2,2,0,0,SEDENTARY,BALANCED
472,Household_0472,1,1,0,0,MODERATE,VEGETARIAN
473,Household_0473,1,1,0,0,SEDENTARY,BALANCED
474,Household_0474,6,1,5,0,MODERATE,BALANCED
475,Household_0475,1,1,0,0,SEDENTARY,VEGETARIAN
476,Household_0476,6,1,5,0,SEDENTARY,VEGETARIAN
477,Household_0477,4,2,2,0,ACTIVE,BALANCED
478,Household_0478,3,1,2,0,MODERATE,LOW_SUGAR
479,Household_0479,2,2,0,0,SEDENTARY,BALANCED
480,Household_0480,4,1,3,0,SEDENTARY,LOW_SUGAR
481,Household_0481,6,2,3,1,SEDENTARY,LOW_SUGAR
482,Household_0482,3,2,1,0,ACTIVE,BALANCED
483,Household_0483,4,1,3,0,ACTIVE,VEGETARIAN
484,Household_0484,4,2,2,0,MODERATE,LOW_SUGAR
485,Household_0485,5,2,3,0,MODERATE,BALANCED
486,Household_0486,6,1,4,1,MODERATE,LOW_SUGAR
487,Household_0487,2,1,0,1,MODERATE,BALANCED
488,Household_0488,4,3,1,0,SEDENTARY,LOW_SUGAR
489,Household_0489,7,1,6,0,SEDENTARY,VEGETARIAN
490,Household_0490,3,3,0,0,ACTIVE,LOW_SODIUM
491,Household_0491,4,1,2,1,MODERATE,VEGETARIAN
492,Household_0492,3,1,2,0,MODERATE,LOW_SUGAR
493,Household_0493,5,1,3,1,MODERATE,LOW_SODIUM
494,Household_0494,3,3,0,0,ACTIVE,BALANCED
495,Household_0495,4,3,1,0,SEDENTARY,BALANCED
496,Household_0496,3,2,1,0,MODERATE,LOW_SUGAR
497,Household_0497,3,3,0,0,MODERATE,BALANCED
498,Household_0498,3,2,1,0,SEDENTARY,BALANCED
499,Household_0499,4,3,1,0,MODERATE,LOW_SUGAR
500,Household_0500,3,2,1,0,MODERATE,VEGETARIAN
